Code,Name,ListingDate,Shares,ListingBoard,Sector,LastPrice,MarketCap,MinutesFirstAdded,MinutesLastUpdated,HourlyFirstAdded,HourlyLastUpdated,DailyFirstAdded,DailyLastUpdated
ASBI,Gajah Tunggal Tbk.,5/8/1990,3484800000,Utama,Consumer Cyclicals,605,2.11E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASDM,Hotel Sahid Jaya International,5/8/1990,1119326168,Pengembangan,Consumer Cyclicals,1830,2.05E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASGR,Roda Vivatex Tbk,5/14/1990,268800000,Utama,Properties & Real Estate,8800,2.37E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASHA,BFI Finance  Indonesia Tbk.,5/16/1990,15967115620,Utama,Financials,1145,1.83E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASII,Vale Indonesia Tbk.,5/16/1990,9936338720,Utama,Basic Materials,6900,6.86E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASJT,Petrosea Tbk.,5/21/1990,1008605000,Utama,Energy,3210,3.24E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASLC,Tembaga Mulia Semanan Tbk.,5/23/1990,367340000,Pengembangan,Basic Materials,1590,5.84E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASMI,Lionmesh Prima Tbk.,6/4/1990,96000000,Pengembangan,Basic Materials,720,69120000000,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASPI,Panasia Indo Resources Tbk.,6/6/1990,3601462800,Utama,Consumer Cyclicals,,,,,,,,
ASRI,Organon Pharma Indonesia Tbk.,6/8/1990,3600000,Pengembangan,Healthcare,29000,1.04E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASRM,Tigaraksa Satria Tbk.,6/11/1990,918492750,Pengembangan,Consumer Non-Cyclicals,7200,6.61E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ASSA,Toba Pulp Lestari Tbk.,6/18/1990,1388883283,Pengembangan,Basic Materials,705,9.79E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ATAP,Trias Sentosa Tbk.,7/2/1990,2808000000,Utama,Basic Materials,740,2.08E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
ATIC,Ultra Jaya Milk Industry & Tra,7/2/1990,11553528000,Utama,Consumer Non-Cyclicals,1390,1.61E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AUTO,Mayora Indah Tbk.,7/4/1990,22358699725,Utama,Consumer Non-Cyclicals,2330,5.21E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AVIA,Alakasa Industrindo Tbk,7/12/1990,507665055,Pengembangan,Basic Materials,280,1.42E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AXIO,Prima Alloy Steel Universal Tb,7/12/1990,701043478,Utama,Consumer Cyclicals,173,1.21E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
AYLS,Indah Kiat Pulp & Paper Tbk.,7/16/1990,5470982941,Utama,Basic Materials,9875,5.40E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BABP,Intanwijaya Internasional Tbk,7/24/1990,196121237,Utama,Basic Materials,690,1.35E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BACA,Bumi Resources Tbk.,7/30/1990,1.16E+11,Pengembangan,Energy,181,2.09E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BAJA,Indo-Rama Synthetics Tbk.,8/3/1990,654351707,Utama,Consumer Cyclicals,5900,3.86E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BALI,Duta Pertiwi Nusantara Tbk.,8/8/1990,331129952,Utama,Basic Materials,398,1.32E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BANK,Indospring Tbk.,8/10/1990,656249710,Utama,Consumer Cyclicals,2020,1.33E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BAPA,Ekadharma International Tbk.,8/14/1990,698775000,Utama,Basic Materials,272,1.90E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BAPI,H.M. Sampoerna Tbk.,8/15/1990,1.16E+11,Utama,Consumer Non-Cyclicals,930,1.08E+14,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BATA,Pan Brothers Tbk.,8/16/1990,6478295611,Utama,Consumer Cyclicals,151,9.78E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BAUT,Eratex Djaja Tbk.,8/21/1990,1286539792,Pengembangan,Consumer Cyclicals,180,2.32E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BAYU,Bank Artha Graha Internasional,8/23/1990,20021178779,Utama,Financials,84,1.68E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBCA,Clipan Finance Indonesia Tbk.,8/27/1990,3984520457,Utama,Financials,362,1.44E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBHI,Gudang Garam Tbk.,8/27/1990,1924088000,Utama,Consumer Non-Cyclicals,21075,4.06E+13,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBKP,Indo Kordsa Tbk.,9/5/1990,450000000,Utama,Consumer Cyclicals,8250,3.71E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBLD,Asuransi Harta Aman Pratama Tb,9/14/1990,2940000000,Pengembangan,Financials,85,2.50E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBMD,Surya Toto Indonesia Tbk.,10/30/1990,10320000000,Pengembangan,Industrials,272,2.81E+12,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBNI,Hanson International Tbk.,10/31/1990,86703220792,Pengembangan,Properties & Real Estate,50,4.34E+12,,,,,4/16/2001,11/18/2022
BBRI,Champion Pacific Indonesia Tbk,11/5/1990,972204500,Utama,Basic Materials,468,4.55E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
BBRM,Sumber Energi Andalan Tbk.,12/10/1990,870701000,Pengembangan,Energy,885,7.71E+11,11/1/2021 9:00,11/18/2022 15:59,4/16/2020 9:00,11/18/2022 16:00,4/16/2001,11/18/2022
